rank: 0; group_size: 1
896354 1.50626e+06 -1.48745e+11 -1.65706e+10 
896041 1.51189e+06 -1.48641e+11 -1.75038e+10 
895711 1.51751e+06 -1.48531e+11 -1.84363e+10 
895364 1.52313e+06 -1.48415e+11 -1.93681e+10 
894999 1.52875e+06 -1.48294e+11 -2.02991e+10 
894616 1.53437e+06 -1.48166e+11 -2.12293e+10 
894216 1.53999e+06 -1.48033e+11 -2.21587e+10 
893798 1.5456e+06 -1.47894e+11 -2.30872e+10 
893363 1.55121e+06 -1.47749e+11 -2.40148e+10 
892910 1.55681e+06 -1.47599e+11 -2.49415e+10 
892440 1.56242e+06 -1.47442e+11 -2.58671e+10 
891952 1.56802e+06 -1.4728e+11 -2.67918e+10 
891447 1.57362e+06 -1.47112e+11 -2.77154e+10 
890925 1.57921e+06 -1.46938e+11 -2.86379e+10 
890385 1.5848e+06 -1.46758e+11 -2.95593e+10 
889828 1.59039e+06 -1.46573e+11 -3.04795e+10 
889254 1.59597e+06 -1.46382e+11 -3.13985e+10 
888662 1.60155e+06 -1.46185e+11 -3.23163e+10 
888053 1.60713e+06 -1.45982e+11 -3.32328e+10 
887427 1.6127e+06 -1.45774e+11 -3.4148e+10 
886783 1.61827e+06 -1.45559e+11 -3.50619e+10 
886122 1.62383e+06 -1.45339e+11 -3.59744e+10 
885444 1.62939e+06 -1.45114e+11 -3.68855e+10 
884749 1.63495e+06 -1.44883e+11 -3.77951e+10 
884037 1.6405e+06 -1.44646e+11 -3.87032e+10 
883308 1.64605e+06 -1.44403e+11 -3.96098e+10 
882562 1.65159e+06 -1.44154e+11 -4.05149e+10 
